"","NBGIF.Open","NBGIF.High","NBGIF.Low","NBGIF.Close","NBGIF.Volume","NBGIF.Adjusted"
"707",2.1,2.16,2.1,2.108,1116,2.108
"708",2.044,2.044,2.044,2.044,2000,2.044
"709",2.044,2.044,2.044,2.044,0,2.044
"710",1.732,1.943,1.732,1.943,45,1.943
"711",1.943,1.943,1.943,1.943,0,1.943
"712",1.8,1.8,1.8,1.8,100,1.8
"713",1.77719,1.77719,1.72,1.72,1400,1.72
"714",1.8532,1.8532,1.8532,1.8532,100,1.8532
"715",2.1,2.225,2.1,2.1974,1050,2.1974
"716",2.105,2.105,2.105,2.105,450,2.105
"717",2.352,2.4,2.352,2.4,616,2.4
"718",2.495,2.725,2.495,2.7,974,2.7
"719",2.491,2.5048,2.491,2.5048,1006,2.5048
"720",2.375,2.65,2.364,2.65,1302,2.65
"721",2.65,2.65,2.65,2.65,0,2.65
"722",2.456,2.65,2.456,2.65,620,2.65
"723",2.65,2.65,2.61,2.65,1290,2.65
"724",2.4721,2.4721,2.39,2.39,330,2.39
"725",2.925,2.925,2.815,2.925,375,2.925
"726",2.711,2.713,2.62095,2.652,1720,2.652
"727",2.56044,2.56044,2.56044,2.56044,161,2.56044
"728",2.7,2.7,2.685,2.685,95,2.685
"729",2.728,2.728,2.639,2.639,680,2.639
"730",2.3335,2.452,2.3335,2.4484,837,2.4484
"731",2.425,2.425,2.31794,2.31794,414,2.31794
"732",2.3179,2.3179,2.3179,2.3179,0,2.3179
"733",2.571,2.571,2.52086,2.52086,381,2.52086
"734",2.5209,2.5209,2.5209,2.5209,0,2.5209
"735",2.757,2.757,2.757,2.757,242,2.757
"736",2.763,2.833,2.763,2.833,1516,2.833
"737",2.833,2.833,2.833,2.833,0,2.833
"738",2.79,2.8,2.6,2.6,1037,2.6
"739",2.552,2.76,2.552,2.69,720,2.69
"740",2.501,2.689,2.501,2.689,600,2.689
"741",2.689,2.689,2.689,2.689,0,2.689
"742",2.689,2.689,2.689,2.689,0,2.689
"743",2.689,2.689,2.689,2.689,0,2.689
"744",2.6,2.619,2.6,2.619,370,2.619
"745",2.587,2.587,2.45,2.45,800,2.45
"746",2.457,2.457,2.457,2.457,300,2.457
"747",2.34,2.49,2.34,2.49,997,2.49
"748",2.9,2.91177,2.7615,2.7615,2545,2.7615
"749",2.9,2.9,2.9,2.9,700,2.9
"750",2.9,2.9,2.9,2.9,0,2.9
"751",3,3,2.884,3,367,3
"752",3.03402,3.091,3.03402,3.075,777,3.075
"753",3.3,3.35,3.2351,3.2351,23700,3.2351
"754",3.235,3.235,3.235,3.235,150,3.235
"755",3.25,3.25,3.25,3.25,172,3.25
"756",3.235,3.235,3.2,3.2,4515,3.2
"757",2.998,3,2.875,2.875,2226,2.875
"758",3.025,3.025,3.025,3.025,250,3.025
"759",3.025,3.025,3.025,3.025,0,3.025
"760",3.14365,3.14365,3.14365,3.14365,75,3.14365
"761",3.1,3.1,2.987,3.098,270,3.098
"762",3.25,3.481,3.25,3.481,833,3.481
"763",3.349,3.349,3.31,3.32,520,3.32
"764",3.197,3.197,3.197,3.197,1583,3.197
"765",3.55,3.675,3.54,3.66,1621,3.66
"766",3.525,3.525,3.4,3.4,1928,3.4
"767",3.4,3.4,3.4,3.4,0,3.4
"768",3.4,3.4,3.4,3.4,0,3.4
"769",3.36,3.36,3.36,3.36,300,3.36
"770",3.45,3.45,3.45,3.45,200,3.45
"771",3.3,3.35,3.15,3.35,600,3.35
"772",3.35,3.4,3.3,3.366,5609,3.366
"773",3.375,3.54,3.375,3.507,30259,3.507
"774",3.625,3.77,3.625,3.77,2030,3.77
"775",3.575,3.575,3.53,3.53,2130,3.53
"776",3.53,3.53,3.53,3.53,0,3.53
"777",3.385,3.4,3.385,3.4,375,3.4
"778",3.35,3.35,3.04,3.04,550,3.04
"779",3.381,3.39,3.35,3.39,956,3.39
"780",3.25,3.25,3.225,3.225,95,3.225
"781",3.125,3.125,3.0784,3.125,593,3.125
"782",3.125,3.125,3.125,3.125,0,3.125
"783",3.125,3.125,3.125,3.125,21,3.125
"784",3.31205,3.35,3.31205,3.35,79,3.35
"785",3.4,3.4,3.4,3.4,200,3.4
"786",3.24105,3.24105,3,3,547,3
"787",2.9,3,2.9,3,1644,3
"788",2.595,2.595,2.375,2.375,1520,2.375
"789",2.4366,2.595,2,2,2630,2
"790",2.75,2.75,2.75,2.75,401,2.75
"791",2.425,2.425,2.3,2.42,12660,2.42
"792",2.42,2.42,2.42,2.42,0,2.42
"793",3.2,3.2,2.8,3.1034,716,3.1034
"794",3.1034,3.1034,3.1034,3.1034,0,3.1034
"795",3.1034,3.1034,3.1034,3.1034,0,3.1034
"796",3.055,3.3,3.055,3.3,798,3.3
"797",2.275,2.5,2,2.16,5611,2.16
"798",2.15,2.175,2.075,2.122,3430,2.122
"799",2.3,2.312,2.21665,2.295,1742,2.295
"800",2.25,2.29,2.2,2.25,1903,2.25
"801",2.21,2.22,2.188,2.211,980,2.211
"802",2.2,2.2,2.16,2.2,542,2.2
"803",2.1,2.1,1.96,1.96,1951,1.96
"804",1.96,1.96,1.96,1.96,0,1.96
"805",2.026,2.045,2,2,882,2
"806",2.1,2.122,2.1,2.122,470,2.122
"807",2.154,2.17,2.154,2.17,465,2.17
"808",2.1,2.112,2.1,2.112,933,2.112
"809",2.112,2.112,2.112,2.112,0,2.112
"810",2.112,2.112,2.112,2.112,0,2.112
"811",2.246,2.246,2.246,2.246,400,2.246
"812",2.159,2.159,2.159,2.159,38,2.159
"813",2.159,2.159,2.159,2.159,0,2.159
"814",2.199,2.28,2.199,2.28,301,2.28
"815",2.2,2.2,2.2,2.2,405,2.2
"816",2.2,2.2,2.2,2.2,500,2.2
"817",2.09,2.09,2,2.01,410,2.01
"818",2.01,2.01,2.01,2.01,0,2.01
"819",2.0207,2.0207,2,2,133,2
"820",1.98,1.98,1.98,1.98,21154,1.98
"821",2.242,2.265,2.242,2.242,1357,2.242
"822",2.24,2.24,2.24,2.24,21000,2.24
"823",1.99,1.99,1.886,1.886,1220,1.886
"824",1.96,1.98,1.96,1.98,20608,1.98
"825",1.98,1.98,1.98,1.98,0,1.98
"826",1.98,1.98,1.98,1.98,0,1.98
"827",2.0339,2.068,2.0339,2.068,310,2.068
"828",2.06,2.06,2,2.058,833,2.058
"829",2.134,2.134,2.134,2.134,155,2.134
"830",2.134,2.134,2.134,2.134,0,2.134
"831",2.134,2.134,2.134,2.134,0,2.134
"832",2.03,2.135,2.03,2.135,555,2.135
"833",2.135,2.135,2.135,2.135,0,2.135
"834",2.12,2.12,2.12,2.12,400,2.12
"835",2.18,2.18,2.18,2.18,1000,2.18
"836",2.0899,2.0899,2.0899,2.0899,500,2.0899
"837",2.138,2.138,2.05,2.05,747,2.05
"838",2.05,2.05,2.05,2.05,0,2.05
"839",2.07,2.07,2.07,2.07,439,2.07
"840",2.07,2.07,2.07,2.07,0,2.07
"841",2.1,2.1,2.1,2.1,333,2.1
"842",2.092,2.092,2.092,2.092,365,2.092
"843",2.134,2.134,2.134,2.134,809,2.134
"844",2.33,2.33,2.33,2.33,2200,2.33
"845",2.309,2.309,2.309,2.309,150,2.309
"846",2.36,2.36,2.36,2.36,20,2.36
"847",2.36,2.36,2.36,2.36,0,2.36
"848",2.36,2.36,2.36,2.36,0,2.36
"849",2.32,2.32,2.32,2.32,200,2.32
"850",2.28,2.28,2.28,2.28,40,2.28
"851",2.13,2.13,2.13,2.13,90,2.13
"852",2.13,2.13,2.13,2.13,0,2.13
"853",2.13,2.13,2.13,2.13,0,2.13
"854",2.13,2.13,2.13,2.13,0,2.13
"855",2.074,2.074,2.074,2.074,1500,2.074
"856",2.103,2.103,2.103,2.103,14,2.103
"857",2.103,2.103,2.103,2.103,0,2.103
"858",2.103,2.103,2.103,2.103,0,2.103
"859",2.22,2.22,2.22,2.22,50,2.22
"860",2.22,2.22,2.22,2.22,0,2.22
"861",2.17,2.17,2.15,2.15,486,2.15
"862",2.15,2.15,2.15,2.15,0,2.15
"863",2.109,2.109,2.109,2.109,37,2.109
"864",2.1,2.1,2,2,1163,2
"865",2.1,2.1,2.1,2.1,62,2.1
"866",2.1,2.1,2.1,2.1,0,2.1
"867",2.176,2.188,2.176,2.188,1496,2.188
"868",2.1239,2.1239,2.1239,2.1239,100,2.1239
"869",2.06,2.06,2.06,2.06,600,2.06
"870",2.06,2.06,2.06,2.06,0,2.06
"871",2.16,2.16,2.16,2.16,1000,2.16
"872",2.16,2.16,2.16,2.16,0,2.16
"873",2.13,2.13,2.13,2.13,500,2.13
"874",2.13,2.13,2.13,2.13,0,2.13
"875",2.184,2.184,2.16,2.16,3000,2.16
"876",2.1899,2.1899,2.1899,2.1899,10,2.1899
"877",2.1899,2.1899,2.1899,2.1899,0,2.1899
"878",2.224,2.224,2.224,2.224,1000,2.224
"879",2.236,2.236,2.236,2.236,1500,2.236
"880",2.19,2.19,2.16,2.16,1045,2.16
"881",2.13,2.13,2.13,2.13,25,2.13
"882",2.09,2.09,2.0624,2.0624,1100,2.0624
"883",2.0161,2.0207,2,2,516,2
"884",2,2,2,2,0,2
"885",2,2,2,2,0,2
"886",1.97,2.08,1.97,2.08,1790,2.08
"887",2.012,2.012,2.012,2.012,650,2.012
"888",2.032,2.032,2.032,2.032,500,2.032
"889",2.04,2.04,1.95,1.95,1358,1.95
"890",2.004,2.004,2.004,2.004,750,2.004
"891",1.95,2.052,1.95,2.052,4080,2.052
"892",2.06,2.06,2.06,2.06,100,2.06
"893",2.06,2.06,1.98,1.98,224,1.98
"894",2.03,2.03,2.03,2.03,40000,2.03
"895",1.95,2.11,1.95,2.11,1159,2.11
"896",1.98,2,1.98,2,1200,2
"897",1.97,1.97,1.956,1.97,1220,1.97
"898",1.981,1.981,1.981,1.981,55,1.981
"899",2.0953,2.164,2.07,2.156,2075,2.156
"900",2.3,2.3,2.3,2.3,10,2.3
"901",2.3,2.3,2.2253,2.2901,2250,2.2901
"902",2.2901,2.2901,2.2901,2.2901,0,2.2901
"903",2.5,2.5,2.474,2.474,5370,2.474
"904",2.474,2.474,2.474,2.474,0,2.474
"905",2.474,2.474,2.474,2.474,0,2.474
"906",2.272,2.272,2.12,2.12,4507,2.12
"907",2.35,2.499,2.31,2.31,1325,2.31
"908",2.378,2.4,2.32,2.32,1000,2.32
"909",2.32,2.32,2.32,2.32,0,2.32
"910",2.348,2.348,2.32,2.32,589,2.32
"911",2.5,2.5,2.5,2.5,300,2.5
"912",2.72,2.9,2.72,2.86,997,2.86
"913",2.78,2.78,2.78,2.78,500,2.78
"914",2.7,2.71,2.7,2.71,32,2.71
"915",2.68,2.68,2.656,2.656,210,2.656
"916",2.656,2.656,2.656,2.656,0,2.656
"917",2.656,2.656,2.656,2.656,0,2.656
"918",2.34,2.412,2.34,2.412,1140,2.412
"919",2.412,2.412,2.412,2.412,0,2.412
"920",2.412,2.412,2.412,2.412,0,2.412
"921",2.4,2.4,2.4,2.4,250,2.4
"922",2.48,2.5,2.48,2.5,284,2.5
"923",2.5,2.5,2.5,2.5,0,2.5
"924",2.36,2.36,2.35,2.35,22366,2.35
"925",2.46,2.46,2.46,2.46,261,2.46
"926",2.622,2.64,2.622,2.64,450,2.64
"927",2.45,2.5985,2.45,2.5985,200,2.5985
"928",2.514,2.514,2.514,2.514,100,2.514
"929",2.72,2.8,2.72,2.787,367,2.787
"930",2.78,2.78,2.7524,2.7524,920,2.7524
"931",2.73,2.73,2.73,2.73,615,2.73
"932",2.73,2.73,2.73,2.73,0,2.73
"933",2.72,2.75,2.6924,2.75,1511,2.75
"934",2.75,2.75,2.75,2.75,0,2.75
"935",2.8,2.8,2.8,2.8,1631,2.8
"936",2.79,2.8,2.75,2.8,900,2.8
"937",2.8,2.8,2.8,2.8,0,2.8
"938",2.618,2.618,2.444,2.444,1017,2.444
"939",2.444,2.444,2.444,2.444,0,2.444
"940",2.444,2.444,2.444,2.444,0,2.444
"941",2.444,2.444,2.444,2.444,0,2.444
"942",2.5201,2.532,2.42,2.43,450,2.43
